FID,SMILES,frequency,org_FID
412,[9*]n1c(C)c(C)c2ccncc21,230,1214
413,[5*]N1CC=C(c2c(C)[nH]c3ccccc23)CC1,229,1218
414,[16*]c1cn2c3c(cccc3c1=O)CCC2,229,1221
415,[14*]c1noc2c1CC(C)CC2,228,1224
416,[15*][C@@H]1C[C@]12CCNC2,226,1228
417,[16*]c1ccc(=O)n2c1CCC2,226,1229
418,[15*][C@H]1C[C@]12CCNC2,226,1231
419,[14*]c1nc(C)c2c(n1)CCC2,225,1232
420,[8*]C[n+]1c[nH]c2ccccc21,225,1235
421,[9*]n1ncc2cn[nH]c2c1=O,223,1241
422,[15*]C1CC2CCC(C1)N2,223,1242
423,[8*]CCC#N,223,1244
424,[13*]C1COC(c2ccccc2)=N1,222,1247
425,[4*]CC(Cl)(Cl)Cl,220,1252
426,[5*]N1CCc2c(sc3nc[nH]c(=O)c23)C1,219,1254
427,[15*]C1CC2CNCC12,218,1262
428,[5*]N1C2CCCC1CC2,215,1274
429,[15*]C1CNCC2(CC2)C1,215,1277
430,[16*]c1ccc2c(c1)NCNS2(=O)=O,210,1294
431,[12*]S(=O)(=O)c1cccc2nonc12,210,1296
432,[14*]c1ncc(C)s1,209,1301
433,[16*]c1ccoc(=O)c1,208,1303
434,[14*]c1ncc(C)o1,208,1305
435,[16*]c1cccc2nc3ccccc3nc12,208,1307
436,[14*]c1ncnc2c1cnn2C,208,1308
437,[14*]c1cc2occc2n1C,208,1309
438,[16*]c1cc(F)ccc1Br,207,1312
439,[1*]C(=O)CN1C(=O)NS(=O)(=O)c2ccccc21,206,1315
440,[7*]=C(C#N)C=O,206,1316
441,[8*]C(C)(C)C=O,206,1319
442,[16*]c1cccnc1Cl,204,1325
443,[5*]N1CCNC[C@H]1C,203,1328
444,[13*][C@@H]1CNCCO1,203,1330
445,[13*]C1CNC(=O)O1,203,1331
446,[6*]C(=O)[C@@H]1CC(=O)Nc2[nH]nc(C)c21,203,1332
447,[14*]c1ncnc2ncccc12,203,1333
448,[6*]C(=O)C1CC(=O)Nc2[nH]nc(C)c21,203,1338
449,[5*]NC1=N[C@@H](C)CS1,202,1340
450,[16*]c1cccc2ncccc12,201,1342
451,[16*]c1cnccc1C,201,1346
452,[13*][C@H]1CNCCO1,200,1355
453,[14*]c1ncc2nc[nH]c2n1,199,1356
454,[15*]C1CCCC2(C1)OCCO2,199,1357
455,[15*][C@@H]1CC[C@H]2NCCO[C@H]12,199,1359
456,[5*]N1CC2CC1CS2(=O)=O,198,1368
457,[7*]=CC#N,197,1375
458,[5*]N1CCc2ccccc2C1c1cccs1,196,1376
459,[9*]n1cc(Cl)ccc1=N,196,1379
460,[13*]C1CCC2(CC2)CN1,196,1381
