FID,SMILES
514,[11*]SC=O
515,[16*]c1cnc2sc(C)cn2c1=O
516,[15*][C@H]1CC[NH2+]C[C@H]1C
517,[4*][C@H](C)CC#N
518,[16*]c1cccc(C)c1N
519,[16*]c1ccc2c(c1)CCCO2
520,[9*]n1nc(C)c([SH](=O)=O)c1C
521,[14*]c1cn2c(C)cccc2[nH+]1
522,[14*]c1csc(N)n1
523,[16*]c1ccc(S(=O)(=O)C(F)F)cc1
524,[5*][NH+]1C[C@@H](C)[C@@H](C)C1
525,[14*]c1nccc(C)[nH+]1
526,[5*]N1C[C@H]2CCC[NH+]2C[C@H]1C
527,[16*]c1cccc2c1NC[C@@H]1CC=C[C@H]21
528,[14*]c1ncc(Cl)n1C
529,[8*]CN1CCCCC1
530,[16*]c1ccc([SH](=O)=O)c(C)c1
531,[12*]S(=O)(=O)c1ccc([SH](=O)=O)cc1
532,[14*]c1n[nH]cc1Br
533,[8*][C@@H](C)CCC
534,[16*]c1cc(C)cc(Cl)c1
535,[1*]C(=O)NO
536,[4*]C(C)(CC)CC
537,[5*]N1[C@H](C)CCC[C@H]1C
538,[16*]c1c(O)cccc1O
539,[5*]N1CCC2(CCC(=O)NC2)CC1
540,[9*]n1nc(C)c2ccsc21
541,[5*]NC(N)=[NH2+]
542,[14*]c1[nH]c2ccccc2[nH+]1
543,[16*]c1c(C)ncnc1C
544,[16*]c1cccc(/C=N/NC=O)c1
545,[9*]n1c(C)n[nH]c1=S
546,[16*]c1csc2ncncc12
547,[13*][C@@H]1C[C@H](O)CN1
548,[5*]N1CC=C(c2cccc(C)c2)CC1
549,[14*]c1ccc2c(C)n[nH]c2n1
550,[15*][C@@H]1CC[C@@H]([NH3+])C1
551,[15*][C@H]1CCOC2(CCOCC2)C1
552,[15*][C@@H]1CCC[C@H](C)[C@H]1C
553,[16*]c1ccc2c(c1)C(=O)N(C)C2=O
554,[15*]C1(C)COC1
555,[9*]n1cc(N)nn1
556,[6*]C(=O)NNc1ncncc1N
557,[14*]c1ncnc2nc(N)ccc12
558,[1*]C(=O)CC(F)(F)F
559,[9*]n1nncc1N
560,[5*]N1CC[C@H]([SH](=O)=O)C1
561,[16*]c1ccc2ccoc2c1
562,[14*]c1nc2cnccc2[nH]1
563,[12*]S(=O)(=O)c1cc[nH]c1
564,[4*]CCC=C
565,[13*][C@@H]1CNC[C@@H](C)O1
566,[16*]c1c(F)cccc1Br
567,[14*]c1nc2cc(Cl)ccc2c(=O)[nH]1
568,[9*]n1c(=O)oc2cccnc21
569,[14*]c1sc2ncncc2c1C
570,[15*][C@@H]1CCC1(C)C
571,[4*]CCS(=O)(=O)c1ccccc1
572,[4*]C[C@@H]1COc2ccccc21
573,[15*][C@@H]1CCC[C@@H](S(C)(=O)=O)C1
574,[14*]c1nc2c(F)cc(F)cc2s1
575,[16*]c1c([O-])[nH]c(=O)c(C#N)c1C
576,[9*]n1c([O-])cc(C)c(C#N)c1=O
577,[16*]c1ccc([N+](=O)[O-])c(Cl)c1
578,[15*][C@@H]1C[C@H]2CC[C@@H]1O2
579,[4*]CC1=C(C=O)CNC(=O)N1
580,[15*][C@H]1CC[C@H]([NH3+])C1
581,[13*][C@@H]1CCC(=O)O1
582,[4*]C(CO)CO
583,[8*]CC(C)[NH3+]
584,[16*]c1c[nH]c2ccc(F)cc12
585,[4*]CCCC(N)=O
586,[5*]N[C@H]1c2ccccc2C[C@H]1O
587,[5*]N1CCc2[nH]c3ccccc3c2C1
588,[15*][C@@H]1C=C[C@@H]([NH3+])C1
589,[1*]C(=O)[C@H](C)CCC
590,[5*]N1CCc2ccc(Cl)cc2C1
591,[5*]N1C[C@H](C)CC[C@@H]1C
592,[16*]c1cc(F)c(F)cc1F
593,[9*]n1ncc2c1CCNC2
594,[5*]N1Cc2ccccc2C1
595,[5*]N1CCC[C@H]2CCCC[C@@H]21
596,[5*]N1CC[C@H](F)C1
597,[16*]c1ccc(C)cc1[SH](=O)=O
598,[4*][C@@]1(C)CCS(=O)(=O)C1
599,[9*]n1c(=O)c(=O)[nH]c2ccccc21
600,[16*]c1cc(=O)oc2cc(C)ccc12
601,[16*]c1ccc([N+](=O)[O-])cc1C#N
602,[4*]C[C@@H](O)CC
603,[14*]c1nn(C)cc1[N+](=O)[O-]
604,[4*][C@@H](CC)C(=O)[O-]
605,[14*]c1cc(=O)cco1
606,[4*][C@@H](C#N)C(C)C
607,[4*]CC(=O)N/N=C/c1ccccc1
608,[8*]CCCCO
609,[15*][C@@H]1CCC(C)(C)C1
610,[16*]c1ccc[n+]([O-])c1
611,[9*]n1nn[nH]c1=O
612,[14*]c1nc(Br)cs1
613,[16*]c1coccc1=O
614,[13*]C1NC(N)=NC1=O
615,[15*][C@H]1[C@@H]2CCO[C@@H]2C1(C)C
616,[16*]c1c(C)cc(C)c([N+](=O)[O-])c1C
617,[8*]C[S@@](=O)CC
618,[4*]C[C@H](O)CC
619,[16*]c1cnccc1C#N
620,[15*][C@@H]1CCCC(C)(C)C1
621,[14*]c1noc(=O)[nH]1
622,[10*]N1C(=C)c2ccccc2C1=O
623,[16*]c1cccc(N)c1C
624,[10*]N1C(=O)CCCC1=O
625,[14*]c1c(C)nc2ccccn12
626,[15*][C@@H]1CC1(C)C
627,[16*]c1c[nH]c2cc(F)ccc12
628,[9*]n1nccc(Cl)c1=O
629,[15*][C@H]1CC[C@@H]([NH3+])C1
630,[8*]C[S@](=O)[C@H](C)C=O
631,[8*][C@H]([NH3+])CC
632,[5*]N1CCOC12CCNCC2
633,[16*]c1csc([SH](=O)=O)c1
634,[4*][C@H](C)CCC(C)C
635,[13*][C@H]1Nc2ccccc2[C@H]2C=CC[C@H]21
