FID,SMILES,frequency,org_FID
9701,[15*]C1CCc2nc(C)[nH]c2C1,6,14653
9702,[15*]C1CCc2cc(C#N)ccc2C1,6,14654
9703,[15*]C1CC(=O)C2=C(C1)NC(=O)NC2,6,14655
9704,[5*]N1Cc2ccccc2C(C)(C)C1,6,14657
9705,[1*]C(=O)[C@H](N)CC,6,14660
9706,[9*]n1cnc2c(C#N)nccc21,6,14661
9707,[14*]c1nsc2c(F)cccc12,6,14662
9708,[7*]=C1OC(=O)c2ccc(Br)cc21,6,14663
9709,[9*]n1c(C)cc(C)nc1=O,6,14664
9710,[5*]N/C=C1/CCCC(C)C1,6,14665
9711,[6*]C(=O)N/N=C/c1ccc(Cl)cc1,6,14666
9712,[15*][C@H]1CC(c2ccc(Br)cc2)=NNC1=O,6,14667
9713,[13*][C@@H]1OC[C@H](O)[C@@H](O)[C@@H]1O,6,14669
9714,[15*][C@H]1CNC[C@@]12NC(=O)NC2=O,6,14670
9715,[13*]C1CNCCN1S(=O)(=O)N1CC(C)OCC1C,6,14671
9716,[1*]C(=O)C(F)(F)C(F)F,6,14672
9717,[13*][C@@H]1C[C@@H]2CNC[C@@H]2N1,6,14674
9718,[5*]N1CCNc2ccc(C)nc21,6,14675
9719,[8*]CCC(=O)Cl,6,14676
9720,[7*]=Cc1nc2ccccc2[nH]1,6,14678
9721,[15*][C@]1(O)CC(=C)C[C@H]1O,6,14679
9722,[7*]=C(C=O)CC,6,14681
9723,[16*]c1ccc2c(c1)c1c(n2C)C(=O)NCC1,6,14683
9724,[12*]S(=O)(=O)C1CCOC1,6,14684
9725,[6*]C(=O)n1cccc(C)c1=NC=O,6,14685
9726,[15*][C@@H]1CNCC[C@H]1C,6,14686
9727,[9*]n1cnc(=O)cn1,6,14687
9728,[7*]=C(C=O)/C(C)=C(\N)N=C,6,14690
9729,[13*]C1C=CC=C(C(F)(F)F)N1,6,14691
9730,[6*]C(=O)I,6,14692
9731,[4*]C(CC)C(N)=S,6,14693
9732,[12*]S(=O)(=O)c1ccc2c(c1)c(=O)sn2C,6,14697
9733,[15*][C@H]1CC(=O)c2ccoc2C1,6,14698
