SMILES,Idx,FID
[5*]N1/C(=C(/C=C(\Cl)[N+](=O)[O-])[N+](=O)[O-])OC[C@H]1[13*],16,34074
[16*]c1ccc(Cl)nc1,0,410
[16*]c1ccc2cc[nH]c2c1,0,450
[16*]c1cc([16*])c([N+](=O)[O-])cc1[16*],0,102
[16*]c1cc([16*])c([N+](=O)[O-])cc1[16*],4,126
[16*]c1cc([16*])c([N+](=O)[O-])cc1[16*],11,95
[5*]N1CCCC[C@@H]1C,0,370
[4*]CC(=O)NNC([6*])=O,0,377
[4*]CC(=O)NNC([6*])=O,7,286
[9*]n1cccc1,0,165
[16*]c1ccc2c(c1)NC(=O)[C@@H](C)O2,0,2084
[1*]C(=O)C1=NN(C)C(=O)CC1,0,2194
[5*][NH+]1C[C@@H](C)CCC[C@@H]1C,0,9533
[4*]CC(N)=O,0,188
[9*]n1nc(C)c([16*])c1C,0,117
[9*]n1nc(C)c([16*])c1C,6,147
[5*][NH+]1CCCCC1,0,41
[1*]C(=O)C(C)C,0,113
[5*]N[C@@H]1CCCc2ccc(F)cc21,0,1434
[12*]S(=O)(=O)c1ccccc1Cl,0,524
[4*]C[C@@]([8*])(O)C[8*],0,252
[4*]C[C@@]([8*])(O)C[8*],3,266
[4*]C[C@@]([8*])(O)C[8*],6,447
[5*][NH+]1CCCN2CCC[C@@H]2C1,0,9131
[5*]N1C[C@@H]([15*])[C@@H]([15*])C1,0,28
[5*]N1C[C@@H]([15*])[C@@H]([15*])C1,4,133
[5*]N1C[C@@H]([15*])[C@@H]([15*])C1,6,129
[8*]CC(=O)/N=C(\N)c1cccc([16*])c1,0,11204
[8*]CC(=O)/N=C(\N)c1cccc([16*])c1,12,12893
[16*]c1c(C)[nH]c2ccnn2c1=O,0,4749
[15*][C@@H]1CC[C@@H]([NH3+])C1,0,1602
[16*]c1ccc2sccc2c1,0,2366
[16*]c1ccc([16*])c(F)c1,0,44
[16*]c1ccc([16*])c(F)c1,5,38
[15*]C1CCC1,0,99
[16*]c1cccc(Cl)c1Cl,0,337
[15*][C@@H]1CCC[C@@H]1S(C)(=O)=O,0,2374
[15*]C1C[C@H](C)O[C@@H](C)C1,0,608
[16*]c1ccc([16*])c(Cl)c1,0,47
[16*]c1ccc([16*])c(Cl)c1,5,46
[5*]N1Cc2ccccc2C[C@H]1[13*],0,203
[5*]N1Cc2ccccc2C[C@H]1[13*],11,922
[14*]c1nnc(C)o1,0,476
[9*]n1c(=O)c2c(nc3n([9*])c(C)c(C)n23)n(C)c1=O,0,2826
[9*]n1c(=O)c2c(nc3n([9*])c(C)c(C)n23)n(C)c1=O,9,2768
[8*][C@@H](C)C(C)=O,0,4492
[16*]c1ccc2c(c1)C(=O)N(C)C2=O,0,1612
[15*][C@H]1[C@H]2CCO[C@@H]2C1(C)C,0,2094
[1*]C(=O)CCC,0,75
[14*]c1ccc(C)o1,0,134
[16*]c1c(C)noc1C,0,163
[1*]C(=O)CC[4*],0,16
[1*]C(=O)CC[4*],5,79
[9*]n1c([14*])cc2sccc21,0,2450
[9*]n1c([14*])cc2sccc21,3,2134
[4*][C@H](C)C(C)C,0,348
